"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"TCS","EQ","11-Feb-2021","       3213.30","       3215.00","       3219.30","       3185.05","       3204.50","       3206.00","       3201.77","    1165882","          3732884248.70","      53910","     466871","         40.04"
"TCS","EQ","12-Feb-2021","       3206.00","       3184.20","       3245.50","       3182.00","       3188.25","       3190.80","       3214.96","    2777404","          8929253698.30","     113414","     872187","         31.40"
"TCS","EQ","15-Feb-2021","       3190.80","       3209.00","       3209.00","       3131.55","       3149.00","       3139.85","       3156.80","    2630853","          8305069201.35","     143467","    1214830","         46.18"
"TCS","EQ","16-Feb-2021","       3139.85","       3150.00","       3167.65","       3100.00","       3113.00","       3108.80","       3122.98","    3435770","         10729849665.90","     171006","    1651579","         48.07"
"TCS","EQ","17-Feb-2021","       3108.80","       3105.10","       3132.85","       3045.55","       3073.45","       3073.10","       3076.93","    3678426","         11318262125.10","     204277","    1516981","         41.24"
"TCS","EQ","18-Feb-2021","       3073.10","       3065.00","       3097.90","       3031.00","       3055.00","       3057.35","       3057.94","    4189909","         12812510327.00","     176370","    2042317","         48.74"
"TCS","EQ","19-Feb-2021","       3057.35","       3058.00","       3087.15","       3016.15","       3078.00","       3071.85","       3047.73","    3725028","         11352887527.85","     130797","    1878814","         50.44"
"TCS","EQ","22-Feb-2021","       3071.85","       3096.00","       3096.00","       2943.15","       2955.50","       2958.45","       2999.26","    5366696","         16096121002.20","     266786","    2809615","         52.35"
"TCS","EQ","23-Feb-2021","       2958.45","       2970.00","       3028.00","       2968.00","       2985.10","       2980.20","       2996.35","    3832829","         11484513631.45","     192941","    1770672","         46.20"
"TCS","EQ","24-Feb-2021","       2980.20","       2972.00","       3003.35","       2921.15","       2946.85","       2948.10","       2946.07","    3774549","         11120081886.95","     132336","    2336704","         61.91"
"TCS","EQ","25-Feb-2021","       2948.10","       2974.00","       3029.90","       2968.45","       2985.05","       2995.30","       3000.62","    4224073","         12674849320.45","     223397","    2152055","         50.95"
"TCS","EQ","26-Feb-2021","       2995.30","       2960.00","       2972.35","       2880.00","       2903.85","       2894.30","       2916.68","    5553153","         16196777082.55","     348532","    2860279","         51.51"
"TCS","EQ","01-Mar-2021","       2894.30","       2926.00","       2965.00","       2901.80","       2935.50","       2924.20","       2929.39","    3265871","          9567012658.35","     170820","    1676148","         51.32"
"TCS","EQ","02-Mar-2021","       2924.20","       2960.00","       3025.00","       2948.00","       3019.00","       3006.35","       2981.60","    3306469","          9858560232.35","     186577","    1407212","         42.56"
"TCS","EQ","03-Mar-2021","       3006.35","       3035.00","       3064.00","       2996.90","       3058.00","       3059.10","       3036.11","    3509857","         10656315248.05","     183148","    2032166","         57.90"
"TCS","EQ","04-Mar-2021","       3059.10","       3023.00","       3081.45","       3016.05","       3042.90","       3049.70","       3058.77","    3916760","         11980483432.05","     174500","    2035315","         51.96"
"TCS","EQ","05-Mar-2021","       3049.70","       3016.10","       3063.20","       2996.60","       3025.00","       3008.05","       3033.92","    3203686","          9719719834.10","     127882","    1390830","         43.41"
"TCS","EQ","08-Mar-2021","       3008.05","       3016.00","       3033.00","       2996.00","       3008.70","       3006.95","       3016.64","    2003125","          6042702431.75","     113743","     842670","         42.07"
"TCS","EQ","09-Mar-2021","       3006.95","       3006.95","       3066.90","       2992.10","       3060.50","       3050.95","       3023.94","    1942397","          5873698965.55","     133488","    1020339","         52.53"
"TCS","EQ","10-Mar-2021","       3050.95","       3075.00","       3093.20","       3060.00","       3070.00","       3070.95","       3077.29","    3053778","          9397359901.30","     164340","    1631893","         53.44"
"TCS","EQ","12-Mar-2021","       3070.95","       3075.00","       3117.00","       3041.35","       3053.10","       3057.95","       3084.20","    2938317","          9062343314.40","     128801","    1465667","         49.88"
"TCS","EQ","15-Mar-2021","       3057.95","       3041.00","       3099.00","       3041.00","       3062.05","       3066.15","       3069.74","    3097140","          9507410762.30","     138642","    1677136","         54.15"
"TCS","EQ","16-Mar-2021","       3066.15","       3060.00","       3141.00","       3060.00","       3106.00","       3110.05","       3114.11","    4894756","         15242817601.80","     190871","    2441085","         49.87"
"TCS","EQ","17-Mar-2021","       3110.05","       3105.00","       3155.00","       3085.30","       3107.40","       3112.95","       3130.14","    3838390","         12014711142.05","     183445","    1776834","         46.29"
"TCS","EQ","18-Mar-2021","       3112.95","       3125.95","       3146.45","       2987.05","       3042.00","       3036.50","       3083.67","    3656306","         11274828058.35","     164183","    1670043","         45.68"
"TCS","EQ","19-Mar-2021","       3036.50","       3030.00","       3099.00","       3005.00","       3054.80","       3050.20","       3049.18","    5776626","         17613985029.65","     153489","    3138698","         54.33"
"TCS","EQ","22-Mar-2021","       3050.20","       3048.70","       3139.45","       3018.65","       3128.00","       3129.65","       3086.03","    2821646","          8707678923.10","     137406","    1165276","         41.30"
"TCS","EQ","23-Mar-2021","       3129.65","       3140.00","       3169.00","       3122.85","       3142.00","       3142.60","       3148.33","    3305973","         10408299726.90","     167131","    1615396","         48.86"
"TCS","EQ","24-Mar-2021","       3142.60","       3111.20","       3152.30","       3111.15","       3123.60","       3121.10","       3130.63","    2207104","          6909631859.00","     110682","     930779","         42.17"
"TCS","EQ","25-Mar-2021","       3121.10","       3112.20","       3130.85","       3050.00","       3074.50","       3064.85","       3091.11","    3179786","          9829064107.90","     153808","    1567362","         49.29"
"TCS","EQ","26-Mar-2021","       3064.85","       3090.65","       3118.00","       3043.05","       3062.00","       3066.80","       3078.97","    3697370","         11384084592.30","     201134","    1512152","         40.90"
"TCS","EQ","30-Mar-2021","       3066.80","       3083.00","       3188.45","       3060.90","       3172.00","       3158.55","       3139.65","    4694261","         14738334444.25","     191356","    2277177","         48.51"
"TCS","EQ","31-Mar-2021","       3158.55","       3155.00","       3205.00","       3132.00","       3175.30","       3177.85","       3177.88","    3530069","         11218135153.05","     156653","    1236712","         35.03"
"TCS","EQ","01-Apr-2021","       3177.85","       3191.10","       3215.00","       3145.00","       3167.00","       3165.00","       3178.41","    4285076","         13619743474.75","     154796","    2256615","         52.66"
"TCS","EQ","05-Apr-2021","       3165.00","       3171.00","       3263.00","       3151.00","       3241.00","       3238.90","       3206.75","    5317862","         17053050939.60","     229667","    2518855","         47.37"
"TCS","EQ","06-Apr-2021","       3238.90","       3275.00","       3275.00","       3230.00","       3266.50","       3264.70","       3254.36","    2291562","          7457570557.40","     109190","     834510","         36.42"
"TCS","EQ","07-Apr-2021","       3264.70","       3259.00","       3277.55","       3234.80","       3271.00","       3271.40","       3258.05","    2491268","          8116666257.70","     122792","    1125695","         45.19"
"TCS","BL","08-Apr-2021","       2015.05","       3271.40","       3271.40","       3271.40","       3271.40","       3271.40","       3271.40","     433408","          1417850931.20","          1","-","-"
"TCS","EQ","08-Apr-2021","       3271.40","       3270.00","       3335.00","       3266.05","       3315.00","       3317.35","       3314.03","    2578118","          8543956094.10","     142722","     987260","         38.29"
"TCS","EQ","09-Apr-2021","       3317.35","       3354.00","       3354.35","       3308.00","       3325.00","       3322.25","       3327.38","    2911129","          9686422200.65","     114832","    1043656","         35.85"
"TCS","EQ","12-Apr-2021","       3322.25","       3322.25","       3338.10","       3213.20","       3250.00","       3246.55","       3275.21","    3791828","         12419018301.00","     202522","    1329121","         35.05"
"TCS","EQ","13-Apr-2021","       3246.55","       3214.00","       3214.00","       3073.05","       3120.00","       3104.05","       3116.13","    8654596","         26968883551.05","     436638","    3104217","         35.87"
"TCS","EQ","15-Apr-2021","       3104.05","       3160.30","       3237.25","       3087.45","       3227.00","       3218.95","       3168.14","    6062760","         19207655907.60","     219212","    3038656","         50.12"
"TCS","EQ","16-Apr-2021","       3218.95","       3229.00","       3247.00","       3182.60","       3186.10","       3195.15","       3209.11","    3224657","         10348287512.60","     123918","    1401641","         43.47"
"TCS","EQ","19-Apr-2021","       3195.15","       3169.00","       3189.00","       3135.10","       3159.15","       3161.80","       3164.13","    2679106","          8477031167.55","     126444","    1340909","         50.05"
"TCS","EQ","20-Apr-2021","       3161.80","       3225.00","       3225.35","       3126.35","       3140.00","       3144.55","       3150.28","    3141893","          9897843132.45","     162928","    1747537","         55.62"
"TCS","EQ","22-Apr-2021","       3144.55","       3148.00","       3148.00","       3105.25","       3121.05","       3118.80","       3122.39","    1988980","          6210380335.40","     172941","    1191717","         59.92"
"TCS","EQ","23-Apr-2021","       3118.80","       3105.00","       3119.00","       3091.05","       3110.20","       3109.50","       3105.86","    1615309","          5016930338.85","      93127","     772358","         47.81"
"TCS","EQ","26-Apr-2021","       3109.50","       3102.05","       3153.00","       3088.05","       3100.05","       3100.80","       3122.35","    2490260","          7775464961.20","      87012","    1345353","         54.02"
"TCS","EQ","27-Apr-2021","       3100.80","       3106.00","       3136.10","       3103.00","       3132.75","       3132.00","       3122.18","    1471417","          4594035861.35","      97077","     849767","         57.75"
